Timestamp,Distance
20240928101345,239
20240928101346,244
20240928101347,239
20240928101348,239
20240928101349,239
20240928101350,239
20240928101351,240
20240928101352,239
20240928101353,239
20240928101354,239
20240928101355,239
20240928101356,240
20240928101357,240
20240928101358,239
20240928101359,240
20240928101400,239
20240928101401,239
20240928101402,239
20240928101403,240
20240928101404,239
20240928101405,239
20240928101406,240
20240928101407,240
20240928101408,240
20240928101409,240
20240928101410,240
20240928101411,240
20240928101412,240
20240928101413,239
20240928101414,239
20240928101415,239
20240928101416,239
20240928101417,240
20240928101418,240
20240928101419,239
20240928101420,240
20240928101421,239
20240928101422,239
20240928101423,239
20240928101424,239
20240928101425,240
20240928101426,239
20240928101427,240
20240928101428,240
20240928101429,240
20240928101430,240
20240928101431,240
20240928101432,239
20240928101433,239
20240928101434,239
20240928101435,240
20240928101436,240
20240928101437,239
20240928101438,240
20240928101439,239
20240928101440,240
20240928101441,240
20240928101442,241
20240928101443,216
20240928101444,205
20240928101445,244
20240928101446,246
20240928101447,266
20240928101448,262
20240928101449,273
20240928101450,44
20240928101451,60
20240928101452,39
20240928101453,45
20240928101454,49
20240928101455,52
20240928101456,56
20240928101457,49
20240928101458,35
20240928101459,41
20240928101500,55
20240928101501,87
20240928101502,195
20240928101503,195
20240928101504,80
20240928101505,42
20240928101506,195
20240928101507,195
20240928101508,194
20240928101509,195
20240928101510,195
20240928101511,195
20240928101512,212
20240928101513,125
20240928101514,205
20240928101515,244
20240928101516,259
20240928101517,266
20240928101518,110
20240928101519,96
20240928101520,106
20240928101521,88
20240928101522,97
20240928101523,86
20240928101524,95
20240928101525,75
20240928101526,80
20240928101527,77
20240928101528,76
20240928101529,83
20240928101530,82
20240928101531,78
20240928101532,81
20240928101533,74
20240928101534,48
20240928101535,76
20240928101536,82
20240928101537,82
20240928101538,89
20240928101539,85
20240928101540,89
20240928101541,84
20240928101542,99
20240928101543,85
20240928101544,88
20240928101545,81
20240928101546,73
20240928101547,63
20240928101548,65
20240928101549,67
20240928101550,67
20240928101551,63
20240928101552,57
20240928101553,58
20240928101554,55
20240928101555,75
20240928101556,259
20240928101557,205
20240928101558,205
20240928101559,273
20240928101600,234
20240928101601,205
20240928101602,204
20240928101603,205
20240928101604,74
20240928101605,204
20240928101606,259
20240928101607,204
20240928101608,128
20240928101609,205
20240928101610,205
20240928101611,205
20240928101612,206
20240928101613,205
20240928101614,205
20240928101615,205
20240928101616,205
20240928101617,205
20240928101618,262
20240928101619,273
20240928101620,234
20240928101621,219
20240928101622,212
20240928101623,216
20240928101624,205
20240928101625,205
20240928101626,205
20240928101627,266
20240928101628,262
20240928101629,273
20240928101630,234
20240928101631,206
20240928101632,205
20240928101633,216
20240928101634,204
20240928101635,204
20240928101636,205
20240928101637,266
20240928101638,205
20240928101639,205
20240928101640,204
20240928101641,205
20240928101642,204
20240928101643,205
20240928101644,205
20240928101645,205
20240928101646,206
20240928101647,205
20240928101648,204
20240928101649,205
20240928101650,204
20240928101651,205
20240928101652,205
20240928101653,205
20240928101654,205
20240928101655,205
20240928101656,205
20240928101657,205
20240928101658,204
20240928101659,205
20240928101700,205
20240928101701,205
20240928101702,204
20240928101703,205
20240928101704,205
20240928101705,205
20240928101706,205
20240928101707,204
20240928101708,205
20240928101709,205
20240928101710,205
20240928101711,205
20240928101712,204
20240928101713,204
20240928101714,204
20240928101715,205
20240928101716,205
20240928101717,205
20240928101718,205
20240928101719,204
20240928101720,205
20240928101721,205
20240928101722,204
20240928101723,216
20240928101724,205
20240928101725,244
20240928101726,204
20240928101727,205
20240928101728,206
20240928101729,205
20240928101730,205
20240928101731,205
20240928101732,204
20240928101733,205
20240928101734,204
20240928101735,205
20240928101736,205
20240928101737,205
20240928101738,205
20240928101739,205
20240928101740,204
20240928101741,205
20240928101742,205
20240928101743,205
20240928101744,205
20240928101745,205
20240928101746,205
20240928101747,266
20240928101748,205
20240928101749,205
20240928101750,205
20240928101751,205
20240928101752,205
20240928101753,205
20240928101754,205
20240928101755,205
20240928101756,206
20240928101757,205
20240928101758,204
20240928101759,205
20240928101800,234
20240928101801,219
20240928101802,204
20240928101803,205
20240928101804,205
20240928101805,205
20240928101806,205
20240928101807,204
20240928101808,205
20240928101809,205
20240928101810,205
20240928101811,204
20240928101812,204
20240928101813,204
20240928101814,205
20240928101815,205
20240928101816,205
20240928101817,205
20240928101818,205
20240928101819,205
20240928101820,205
20240928101821,206
20240928101822,206
20240928101823,205
20240928101824,205
20240928101825,205
20240928101826,205
20240928101827,266
20240928101828,205
20240928101829,273
20240928101830,234
20240928101831,205
20240928101832,207
20240928101833,205
20240928101834,157
20240928101835,205
20240928101836,205
20240928101837,205
20240928101838,204
20240928101839,205
20240928101840,205
20240928101841,205
20240928101842,205
20240928101843,205
20240928101844,205
20240928101845,205
20240928101846,205
20240928101847,204
20240928101848,204
20240928101849,204
20240928101850,205
20240928101851,205
20240928101852,205
20240928101853,205
20240928101854,205
20240928101855,204
20240928101856,259
20240928101857,266
20240928101858,262
20240928101859,156
20240928101900,234
20240928101901,219
20240928101902,212
20240928101903,155
20240928101904,205
20240928101905,244
20240928101906,205
20240928101907,266
20240928101908,205
20240928101909,273
20240928101910,234
20240928101911,219
20240928101912,212
20240928101913,216
20240928101914,205
20240928101915,244
20240928101916,259
20240928101917,266
20240928101918,262
20240928101919,273
20240928101920,234
20240928101921,219
20240928101922,212
20240928101923,216
20240928101924,205
20240928101925,244
20240928101926,259
20240928101927,266
20240928101928,205
20240928101929,273
20240928101930,234
20240928101931,219
20240928101932,212
20240928101933,156
20240928101934,205
20240928101935,156
20240928101936,259
20240928101937,266
20240928101938,262
20240928101939,155
20240928101940,234
20240928101941,157
20240928101942,212
20240928101943,216
20240928101944,205
20240928101945,156
20240928101946,155
20240928101947,266
20240928101948,262
20240928101949,273
20240928101950,234
20240928101951,219
20240928101952,212
20240928101953,216
20240928101954,205
20240928101955,244
20240928101956,259
20240928101957,266
20240928101958,262
20240928101959,154
20240928102000,234
20240928102001,219
20240928102002,212
20240928102003,216
20240928102004,205
20240928102005,244
20240928102006,259
20240928102007,266
20240928102008,262
20240928102009,273
20240928102010,234
20240928102011,219
20240928102012,212
20240928102013,156
20240928102014,155
20240928102015,244
20240928102016,259
20240928102017,156
20240928102018,262
20240928102019,156
20240928102020,157
20240928102021,156
20240928102022,212
20240928102023,155
20240928102024,205
20240928102025,244
20240928102026,156
20240928102027,155
20240928102028,155
20240928102029,156
20240928102030,155
20240928102031,219
20240928102032,154
20240928102033,155
20240928102034,155
20240928102035,155
20240928102036,155
20240928102037,155
20240928102038,156
20240928102039,156
20240928102040,155
20240928102041,156
20240928102042,156
20240928102043,216
20240928102044,156
20240928102045,156
20240928102046,155
20240928102047,156
20240928102048,155
20240928102049,155
20240928102050,154
20240928102051,155
20240928102052,212
20240928102053,216
20240928102054,205
20240928102055,244
20240928102056,259
20240928102057,266
20240928102058,262
20240928102059,273
20240928102100,234
20240928102101,219
20240928102102,212
20240928102103,205
20240928102104,205
20240928102105,205
20240928102106,259
20240928102107,266
20240928102108,262
20240928102109,273
20240928102110,234
20240928102111,219
20240928102112,212
20240928102113,216
20240928102114,205
20240928102115,156
20240928102116,259
20240928102117,266
20240928102118,262
20240928102119,273
20240928102120,234
20240928102121,219
20240928102122,212
20240928102123,155
20240928102124,154
20240928102125,244
20240928102126,259
20240928102127,266
20240928102128,262
20240928102129,273
20240928102130,234
20240928102131,219
20240928102132,212
20240928102133,216
20240928102134,205
20240928102135,244
20240928102136,259
20240928102137,266
20240928102138,262
20240928102139,273
20240928102140,234
20240928102141,219
20240928102142,212
20240928102143,216
20240928102144,205
20240928102145,244
20240928102146,259
20240928102147,266
20240928102148,262
20240928102149,273
20240928102150,234
20240928102151,219
20240928102152,212
20240928102153,216
20240928102154,205
20240928102155,244
20240928102156,259
20240928102157,266
20240928102158,262
20240928102159,273
20240928102200,234
20240928102201,219
20240928102202,212
20240928102203,216
20240928102204,205
20240928102205,244
20240928102206,259
20240928102207,266
20240928102208,262
20240928102209,273
20240928102210,234
20240928102211,219
20240928102212,212
20240928102213,216
20240928102214,205
20240928102215,244
20240928102216,259
20240928102217,266
20240928102218,262
20240928102219,273
20240928102220,234
20240928102221,219
20240928102222,212
20240928102223,216
20240928102224,205
20240928102225,244
20240928102226,259
20240928102227,266
20240928102228,262
20240928102229,273
20240928102230,234
20240928102231,219
20240928102232,212
20240928102233,216
20240928102234,205
20240928102235,244
20240928102236,259
20240928102237,27
20240928102238,262
20240928102239,273
20240928102240,234
20240928102241,219
20240928102242,212
20240928102243,216
20240928102244,205
20240928102245,244
20240928102246,259
20240928102247,266
20240928102248,262
20240928102249,273
20240928102250,234
20240928102251,156
20240928102252,212
20240928102253,216
20240928102254,205
20240928102255,244
20240928102256,259
20240928102257,266
20240928102258,262
20240928102259,273
20240928102300,234
20240928102301,219
20240928102302,212
20240928102303,216
20240928102304,205
20240928102305,244
20240928102306,259
20240928102307,266
20240928102308,262
20240928102309,273
20240928102310,234
20240928102311,219
20240928102312,212
20240928102313,216
20240928102314,205
20240928102315,244
20240928102316,259
20240928102317,266
20240928102318,262
20240928102319,273
20240928102320,234
20240928102321,219
20240928102322,212
20240928102323,216
20240928102324,205
20240928102325,244
20240928102326,259
20240928102327,266
20240928102328,262
20240928102329,273
20240928102330,234
20240928102331,219
20240928102332,212
20240928102333,216
20240928102334,205
20240928102335,244
20240928102336,259
20240928102337,266
20240928102338,262
20240928102339,155
20240928102340,234
20240928102341,219
20240928102342,212
20240928102343,216
20240928102344,205
20240928102345,244
20240928102346,259
20240928102347,266
20240928102348,262
20240928102349,273
20240928102350,131
20240928102351,219
20240928102352,212
20240928102353,216
20240928102354,205
20240928102355,244
20240928102356,259
20240928102357,266
20240928102358,262
20240928102359,273
20240928102400,234
20240928102401,219
20240928102402,212
20240928102403,216
20240928102404,205
20240928102405,244
20240928102406,259
20240928102407,266
20240928102408,262
20240928102409,273
20240928102410,234
20240928102411,219
20240928102412,212
20240928102413,75
20240928102414,205
20240928102415,244
20240928102416,259
20240928102417,266
20240928102418,262
20240928102419,273
20240928102420,234
20240928102421,155
20240928102422,212
20240928102423,216
20240928102424,205
20240928102425,155
20240928102426,259
20240928102427,266
20240928102428,262
20240928102429,273
20240928102430,234
20240928102431,219
20240928102432,212
20240928102433,216
20240928102434,205
20240928102435,244
20240928102436,259
20240928102437,266
20240928102438,262
20240928102439,273
20240928102440,234
20240928102441,219
20240928102442,212
20240928102443,216
20240928102444,205
20240928102445,244
20240928102446,259
20240928102447,266
20240928102448,262
20240928102449,273
20240928102450,234
20240928102451,219
20240928102452,212
20240928102453,216
20240928102454,205
20240928102455,244
20240928102456,259
20240928102457,266
20240928102458,262
20240928102459,273
20240928102500,234
20240928102501,219
20240928102502,212
20240928102503,216
20240928102504,205
20240928102505,244
20240928102506,259
20240928102507,266
20240928102508,262
20240928102509,273
20240928102510,234
20240928102511,219
20240928102512,212
20240928102513,216
20240928102514,205
20240928102515,244
20240928102516,259
20240928102517,266
20240928102518,262
20240928102519,273
20240928102520,234
20240928102521,219
20240928102522,212
20240928102523,216
20240928102524,205
20240928102525,244
20240928102526,259
20240928102527,266
20240928102528,262
20240928102529,273
20240928102530,234
20240928102531,219
20240928102532,212
20240928102533,216
20240928102534,205
20240928102535,244
20240928102536,259
20240928102537,266
20240928102538,262
20240928102539,273
20240928102540,234
20240928102541,219
20240928102542,212
20240928102543,216
20240928102544,205
20240928102545,244
20240928102546,259
20240928102547,266
20240928102548,262
20240928102549,273
20240928102550,234
20240928102551,219
20240928102552,212
20240928102553,216
20240928102554,205
20240928102555,244
20240928102556,259
20240928102557,266
20240928102558,262
20240928102559,273
20240928102600,234
20240928102601,219
20240928102602,212
20240928102603,216
20240928102604,205
20240928102605,244
20240928102606,156
20240928102607,155
20240928102608,262
20240928102609,60
20240928102610,234
20240928102611,219
20240928102612,212
20240928102613,216
20240928102614,205
20240928102615,244
20240928102616,259
20240928102617,266
20240928102618,262
20240928102619,273
20240928102620,234
20240928102621,219
20240928102622,212
20240928102623,216
20240928102624,205
20240928102625,244
20240928102626,259
20240928102627,266
20240928102628,155
20240928102629,273
20240928102630,155
20240928102631,155
20240928102632,212
20240928102633,216
20240928102634,205
20240928102635,155
20240928102636,156
20240928102637,156
20240928102638,262
20240928102639,273
20240928102640,234
20240928102641,219
20240928102642,212
20240928102643,216
20240928102644,205
20240928102645,244
20240928102646,259
20240928102647,266
20240928102648,262
20240928102649,273
20240928102650,234
20240928102651,219
20240928102652,212
20240928102653,216
20240928102654,205
20240928102655,244
20240928102656,259
20240928102657,266
20240928102658,262
20240928102659,273
20240928102700,234
20240928102701,219
20240928102702,212
20240928102703,216
20240928102704,205
20240928102705,244
20240928102706,259
20240928102707,266
20240928102708,262
20240928102709,273
20240928102710,234
20240928102711,219
20240928102712,212
20240928102713,216
20240928102714,205
20240928102715,244
20240928102716,259
20240928102717,266
20240928102718,262
20240928102719,273
20240928102720,234
20240928102721,219
20240928102722,212
20240928102723,216
20240928102724,155
20240928102725,156
20240928102726,155
20240928102727,266
20240928102728,262
20240928102729,156
20240928102730,234
20240928102731,219
20240928102732,212
20240928102733,155
20240928102734,154
20240928102735,244
20240928102736,259
20240928102737,266
20240928102738,262
20240928102739,273
20240928102740,234
20240928102741,219
20240928102742,212
20240928102743,216
20240928102744,205
20240928102745,244
20240928102746,259
20240928102747,266
20240928102748,262
20240928102749,273
20240928102750,234
20240928102751,219
20240928102752,212
20240928102753,216
20240928102754,205
20240928102755,244
20240928102756,259
20240928102757,266
20240928102758,262
20240928102759,273
20240928102800,234
20240928102801,219
20240928102802,212
20240928102803,216
20240928102804,205
20240928102805,244
20240928102806,259
20240928102807,266
20240928102808,262
20240928102809,273
20240928102810,234
20240928102811,219
20240928102812,212
20240928102813,216
20240928102814,205
20240928102815,244
20240928102816,259
20240928102817,266
20240928102818,262
20240928102819,273
20240928102820,234
20240928102821,219
20240928102822,212
20240928102823,216
20240928102824,205
20240928102825,244
20240928102826,259
20240928102827,266
20240928102828,156
20240928102829,273
20240928102830,234
20240928102831,219
20240928102832,212
20240928102833,216
20240928102834,205
20240928102835,244
20240928102836,259
20240928102837,266
20240928102838,262
20240928102839,273
20240928102840,234
20240928102841,219
20240928102842,212
20240928102843,216
